DATEPRD   ,X7405f ,X7078  ,X5599  ,X5351 ,X7289
2013-06-01,0      ,0      ,536.48 ,894.15,0
2013-06-02,0      ,0      ,537.52 ,895.88,0
2013-06-03,0      ,0      ,539.19 ,898.65,0
2013-06-04,0      ,0      ,527.94 ,879.89,0
2013-06-05,0      ,0      ,486.9  ,885.75,0
2013-06-06,0      ,0      ,488.39 ,889.37,0
2013-06-07,0      ,0      ,523.27 ,873.88,0
2013-06-08,0      ,0      ,516.87 ,863.37,0
2013-06-09,0      ,0      ,401.07 ,882.71,0
2013-06-10,0      ,0      ,412.17 ,795.81,0
2013-06-11,0      ,0      ,494.31 ,825.65,0
2013-06-12,0      ,0      ,499.71 ,833.77,0
2013-06-13,0      ,0      ,508.22 ,847.02,0
2013-06-14,0      ,0      ,511.37 ,852.28,0
2013-06-15,0      ,0      ,511.01 ,851.68,0
2013-06-16,0      ,0      ,516.52 ,860.87,0
2013-06-17,0      ,0      ,526.2  ,877.01,0
2013-06-18,0      ,0      ,526.93 ,878.21,0
2013-06-19,0      ,0      ,527.68 ,879.48,0
2013-06-20,0      ,0      ,525.85 ,876.42,0
2013-06-21,0      ,0      ,472.67 ,787.8 ,0
2013-06-22,0      ,0      ,0      ,421.26,0
2013-06-23,0      ,0      ,0      ,75.58 ,0
2013-06-24,0      ,0      ,0      ,0     ,0
2013-06-25,0      ,0      ,0      ,0     ,0
2013-06-26,0      ,0      ,177.64 ,696.24,0
2013-06-27,0      ,0      ,0      ,566.52,0
2013-06-28,0      ,0      ,144.51 ,762.49,0
2013-06-29,0      ,0      ,492.64 ,821.87,0
2013-06-30,0      ,0      ,494.51 ,824.65,0
2013-07-01,0      ,0      ,505.53 ,842.56,0
2013-07-02,0      ,0      ,518.27 ,863.9 ,0
2013-07-03,0      ,0      ,519.46 ,865.77,0
2013-07-04,0      ,0      ,525.32 ,875.54,0
2013-07-05,0      ,0      ,534.95 ,891.6 ,0
2013-07-06,0      ,0      ,37.97  ,583.75,0
2013-07-07,0      ,0      ,140.54 ,948.8 ,0
2013-07-08,0      ,0      ,511.43 ,852.38,0
2013-07-09,0      ,0      ,483.69 ,857.61,0
2013-07-10,0      ,0      ,520.4  ,867.73,0
2013-07-11,0      ,0      ,404.23 ,850.37,0
2013-07-12,0      ,0      ,523.4  ,872.74,0
2013-07-13,0      ,0      ,516.12 ,860.38,0
2013-07-14,0      ,0      ,517.75 ,863.13,0
2013-07-15,0      ,0      ,581.97 ,837.4 ,0
2013-07-16,0      ,0      ,575.33 ,827.69,0
2013-07-17,0      ,0      ,572.78 ,824.01,0
2013-07-18,0      ,0      ,571.98 ,822.86,0
2013-07-19,0      ,0      ,568.38 ,818.02,0
2013-07-20,0      ,0      ,569.04 ,818.74,0
2013-07-21,0      ,0      ,567.41 ,816.6 ,0
2013-07-22,0      ,0      ,31.36  ,105.65,0
2013-07-23,0      ,0      ,0      ,745.71,0
2013-07-24,0      ,17.85  ,5.71   ,770.67,0
2013-07-25,0      ,725    ,216.41 ,695.39,0
2013-07-26,0      ,891.48 ,217.37 ,776.09,0
2013-07-27,0      ,886.42 ,437.17 ,779.72,0
2013-07-28,0      ,56.01  ,14.8   ,7.18  ,0
2013-07-29,0      ,123.59 ,66.02  ,65.68 ,0
2013-07-30,0      ,1032.38,547.52 ,670.4 ,0
2013-07-31,0      ,190.35 ,59.32  ,324.71,0
2013-08-01,0      ,0      ,0      ,0     ,0
2013-08-02,0      ,0      ,0      ,0     ,0
2013-08-03,0      ,590.09 ,313.04 ,318.64,0
2013-08-04,0      ,1066.46,521.18 ,736.95,0
2013-08-05,0      ,1059.61,533.55 ,769.73,0
2013-08-06,0      ,1070.45,540.26 ,777.23,0
2013-08-07,0      ,1069.96,547.92 ,788.24,0
2013-08-08,0      ,1062.22,544.36 ,783.12,0
2013-08-09,0      ,1074   ,539.32 ,775.86,0
2013-08-10,0      ,1070.3 ,540.29 ,777.26,0
2013-08-11,0      ,1054.09,531.82 ,764.87,0
2013-08-12,0      ,1038.69,527.03 ,758.25,0
2013-08-13,0      ,1050.89,531.69 ,765.06,0
2013-08-14,0      ,1044.55,534.08 ,768.65,0
2013-08-15,0      ,1044.6 ,530.29 ,763.75,0
2013-08-16,0      ,1075.73,540.4  ,777.62,0
2013-08-17,0      ,1088.86,531.72 ,765.66,0
2013-08-18,0      ,1041.92,533.77 ,767.88,0
2013-08-19,0      ,1047.06,552.66 ,795.06,0
2013-08-20,0      ,1024.24,544.62 ,783.49,0
2013-08-21,0      ,1050.43,534.43 ,768.84,0
2013-08-22,0      ,1045.41,528.12 ,775.82,0
2013-08-23,0      ,1038.88,529.89 ,762.29,0
2013-08-24,0      ,1030.14,528.26 ,759.95,0
2013-08-25,0      ,1029.58,525.74 ,756.32,0
2013-08-26,0      ,1030.05,522.01 ,750.96,0
2013-08-27,0      ,697.86 ,565.25 ,813.18,0
2013-08-28,0      ,0      ,487.72 ,701.65,0
2013-08-29,0      ,0      ,490.27 ,705.38,0
2013-08-30,0      ,0      ,496.78 ,714.74,0
2013-08-31,0      ,0      ,500.71 ,720.45,0
2013-09-01,0      ,0      ,501    ,720.93,0
2013-09-02,0      ,15.16  ,520.46 ,748.74,0
2013-09-03,0      ,940.96 ,524.59 ,754.75,0
2013-09-04,0      ,969.43 ,528.03 ,759.66,0
2013-09-05,0      ,1016.4 ,414.29 ,773.9 ,0
2013-09-06,0      ,1156.84,260.2  ,767.82,0
2013-09-07,0      ,1150.65,258.92 ,764.48,0
2013-09-08,0      ,1140.41,257.43 ,760.03,0
2013-09-09,0      ,1109.4 ,259.06 ,764.55,0
2013-09-10,0      ,1118.97,253.66 ,749.17,0
2013-09-11,0      ,1102.58,249.96 ,737.77,0
2013-09-12,0      ,809.9  ,204.82 ,586.5 ,0
2013-09-13,0      ,0      ,0      ,218.49,0
2013-09-14,0      ,329.15 ,38.35  ,27.93 ,0
2013-09-15,0      ,982.21 ,434.55 ,545.87,0
2013-09-16,0      ,947.47 ,397.03 ,479.48,0
2013-09-17,0      ,1042   ,494.2  ,628.31,0
2013-09-18,0      ,474.31 ,198.18 ,284.01,0
2013-09-19,0      ,0      ,0      ,0     ,0
2013-09-20,0      ,642.66 ,184.8  ,326.59,0
2013-09-21,0      ,309.88 ,123.62 ,655.17,0
2013-09-22,0      ,1034.51,383.41 ,574.57,0
2013-09-23,0      ,1074.59,492.62 ,625.99,0
2013-09-24,0      ,1142.53,408.26 ,656.48,0
2013-09-25,0      ,1107.51,410.28 ,659.55,0
2013-09-26,0      ,1124.52,411.89 ,661.93,0
2013-09-27,0      ,299.46 ,64.36  ,491.73,0
2013-09-28,0      ,380.03 ,206.41 ,799.2 ,0
2013-09-29,0      ,1158.6 ,367.22 ,665.7 ,0
2013-09-30,0      ,1194.95,375.93 ,681.42,0
2013-10-01,0      ,1195.94,375.71 ,681.02,0
2013-10-02,0      ,1249.05,295.03 ,711.35,0
2013-10-03,0      ,1245.28,293.47 ,707.63,0
2013-10-04,0      ,1242.87,292.86 ,705.9 ,0
2013-10-05,0      ,1235.41,296.71 ,714.35,0
2013-10-06,0      ,1256.2 ,298.71 ,718.46,0
2013-10-07,0      ,1251.09,298.45 ,714.08,0
2013-10-08,0      ,1251.81,295.29 ,709.59,0
2013-10-09,0      ,1256.98,292.16 ,702.19,0
2013-10-10,0      ,1271.99,292.9  ,703.99,0
2013-10-11,0      ,655.2  ,163.08 ,311.95,0
2013-10-12,0      ,362.61 ,99.76  ,44.93 ,0
2013-10-13,0      ,1178.27,279.17 ,615.54,0
2013-10-14,0      ,1183.06,279.23 ,671.85,0
2013-10-15,0      ,1198.75,280.73 ,683.09,0
2013-10-16,0      ,1197.21,283.09 ,680.85,0
2013-10-17,0      ,1198.18,288.49 ,692.36,0
2013-10-18,0      ,1215.93,284.86 ,685.23,0
2013-10-19,0      ,1221.59,282.54 ,679.92,0
2013-10-20,0      ,1210.15,287.52 ,691.96,0
2013-10-21,0      ,1218.52,282.06 ,678.86,0
2013-10-22,0      ,1219.97,285.59 ,686.85,0
2013-10-23,0      ,1221.28,285.87 ,687.36,0
2013-10-24,0      ,1250.87,286.93 ,686.11,0
